"","day","mon","hh","mm","ss","spd","vol","occ"
"1",1,8,0,0,0,95,117,2
"2",1,8,0,5,0,95,219,4
"3",1,8,0,10,0,95,194,2
"4",1,8,0,15,0,95,248,7
"5",1,8,0,20,0,95,121,2
"6",1,8,0,25,0,95,143,2
"7",1,8,0,30,0,95,88,2
"8",1,8,0,35,0,95,144,4
"9",1,8,0,40,0,95,134,1
"10",1,8,0,45,0,95,272,4
"11",1,8,0,50,0,95,257,3
"12",1,8,0,55,0,95,161,2
"13",1,8,1,0,0,95,164,3
"14",1,8,1,5,0,93,125,1
"15",1,8,1,10,0,95,107,3
"16",1,8,1,15,0,95,138,1
"17",1,8,1,20,0,90,7,0
"18",1,8,1,25,0,95,108,2
"19",1,8,1,30,0,95,82,1
"20",1,8,1,35,0,93,94,0
"21",1,8,1,40,0,95,148,2
"22",1,8,1,45,0,90,4,0
"23",1,8,1,50,0,92,45,0
"24",1,8,1,55,0,93,25,0
"25",1,8,2,0,0,94,32,0
"26",1,8,2,5,0,90,51,0
"27",1,8,2,10,0,94,66,1
"28",1,8,2,15,0,95,52,2
"29",1,8,2,20,0,90,37,0
"30",1,8,2,25,0,93,73,1
"31",1,8,2,30,0,95,219,2
"32",1,8,2,35,0,90,7,0
"33",1,8,2,40,0,89,0,0
"34",1,8,2,45,0,95,37,1
"35",1,8,2,50,0,95,65,1
"36",1,8,2,55,0,95,138,1
"37",1,8,3,0,0,95,35,1
"38",1,8,3,5,0,95,46,1
"39",1,8,3,10,0,95,103,1
"40",1,8,3,15,0,95,119,2
"41",1,8,3,20,0,92,19,0
"42",1,8,3,25,0,91,15,0
"43",1,8,3,30,0,92,24,0
"44",1,8,3,35,0,95,102,2
"45",1,8,3,40,0,94,47,1
"46",1,8,3,45,0,95,40,1
"47",1,8,3,50,0,95,38,1
"48",1,8,3,55,0,95,40,1
"49",1,8,4,0,0,95,74,2
"50",1,8,4,5,0,95,77,1
"51",1,8,4,10,0,95,98,1
"52",1,8,4,15,0,95,85,1
"53",1,8,4,20,0,95,83,1
"54",1,8,4,25,0,95,121,2
"55",1,8,4,30,0,91,16,0
"56",1,8,4,35,0,95,132,2
"57",1,8,4,40,0,95,38,1
"58",1,8,4,45,0,95,57,1
"59",1,8,4,50,0,91,99,0
"60",1,8,4,55,0,95,122,1
"61",1,8,5,0,0,95,130,3
"62",1,8,5,5,0,95,157,4
"63",1,8,5,10,0,93,134,1
"64",1,8,5,15,0,95,300,6
"65",1,8,5,20,0,95,353,6
"66",1,8,5,25,0,95,44,2
"67",1,8,5,30,0,95,166,4
"68",1,8,5,35,0,95,245,4
"69",1,8,5,40,0,95,304,10
"70",1,8,5,45,0,95,404,7
"71",1,8,5,50,0,95,183,6
"72",1,8,5,55,0,95,557,14
"73",1,8,6,0,0,95,229,6
"74",1,8,6,5,0,95,457,10
"75",1,8,6,10,0,95,463,8
"76",1,8,6,15,0,95,250,5
"77",1,8,6,20,0,67,-1,-1
"78",1,8,6,25,0,58,-1,-1
"79",1,8,6,30,0,71,-1,-1
"80",1,8,6,35,0,71,-1,-1
"81",1,8,6,40,0,44,-1,-1
"82",1,8,6,45,0,62,-1,-1
"83",1,8,6,50,0,41,-1,-1
"84",1,8,6,55,0,61,-1,-1
"85",1,8,7,0,0,63,-1,-1
"86",1,8,7,5,0,63,-1,-1
"87",1,8,7,10,0,62,-1,-1
"88",1,8,7,15,0,43,-1,-1
"89",1,8,7,20,0,36,-1,-1
"90",1,8,7,25,0,36,-1,-1
"91",1,8,7,30,0,47,-1,-1
"92",1,8,7,35,0,46,-1,-1
"93",1,8,7,40,0,43,-1,-1
"94",1,8,7,45,0,43,-1,-1
"95",1,8,7,50,0,41,-1,-1
"96",1,8,7,55,0,42,-1,-1
"97",1,8,8,0,0,39,-1,-1
"98",1,8,8,5,0,40,-1,-1
"99",1,8,8,10,0,43,-1,-1
"100",1,8,8,15,0,40,-1,-1
"101",1,8,8,20,0,40,-1,-1
"102",1,8,8,25,0,40,-1,-1
"103",1,8,8,30,0,40,-1,-1
"104",1,8,8,35,0,55,1842,36
"105",1,8,8,40,0,61,1912,36
"106",1,8,8,45,0,91,692,10
"107",1,8,8,50,0,95,717,7
"108",1,8,8,55,0,95,503,5
"109",1,8,9,0,0,64,849,14
"110",1,8,9,5,0,95,450,5
"111",1,8,9,10,0,95,836,10
"112",1,8,9,15,0,95,601,6
"113",1,8,9,20,0,95,581,9
"114",1,8,9,25,0,95,795,10
"115",1,8,9,30,0,95,437,7
"116",1,8,9,35,0,74,896,15
"117",1,8,9,40,0,95,701,7
"118",1,8,9,45,0,95,653,6
"119",1,8,9,50,0,95,483,8
"120",1,8,9,55,0,95,659,7
"121",1,8,10,0,0,95,780,11
"122",1,8,10,5,0,89,785,12
"123",1,8,10,10,0,68,825,24
"124",1,8,10,15,0,95,680,10
"125",1,8,10,20,0,81,780,15
"126",1,8,10,25,0,95,379,7
"127",1,8,10,30,0,63,637,18
"128",1,8,10,35,0,95,409,6
"129",1,8,10,40,0,68,706,16
"130",1,8,10,45,0,75,550,13
"131",1,8,10,50,0,65,-1,-1
"132",1,8,10,55,0,45,-1,-1
"133",1,8,11,0,0,65,-1,-1
"134",1,8,11,5,0,65,-1,-1
"135",1,8,11,10,0,68,-1,-1
"136",1,8,11,15,0,95,335,3
"137",1,8,11,20,0,95,355,3
"138",1,8,11,25,0,95,257,2
"139",1,8,11,30,0,95,186,3
"140",1,8,11,35,0,95,220,2
"141",1,8,11,40,0,95,234,3
"142",1,8,11,45,0,93,135,2
"143",1,8,11,50,0,91,87,1
"144",1,8,11,55,0,95,179,2
"145",1,8,12,0,0,95,264,3
"146",1,8,12,5,0,95,377,5
"147",1,8,12,10,0,95,254,3
"148",1,8,12,15,0,95,215,3
"149",1,8,12,20,0,95,265,3
"150",1,8,12,25,0,95,387,6
"151",1,8,12,30,0,95,533,9
"152",1,8,12,35,0,95,299,5
"153",1,8,12,40,0,95,384,6
"154",1,8,12,45,0,95,418,4
"155",1,8,12,50,0,95,388,5
"156",1,8,12,55,0,95,522,9
"157",1,8,13,0,0,95,263,2
"158",1,8,13,5,0,93,139,1
"159",1,8,13,10,0,95,245,2
